Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
47550,11164.61794,-63.47230483,-2249,-3743,4366.697837,4986.457186,3.35087E-10
47740,11126.06408,-63.39076225,-2243,-3765,4382.496321,4983.400213,3.35148E-10
47930,11098.29414,-63.33089756,-2237,-3783,4394.912741,4981.326936,3.34831E-10
48120,11056.31728,-63.22289114,-2228,-3806,4410.172332,4981.101942,3.35093E-10
48310,11016.9795,-63.11479896,-2220,-3827,4424.28853,4981.92607,3.35286E-10
48500,10987.67811,-63.04407142,-2213,-3846,4437.238443,4980.769546,3.35073E-10
48690,10952.30289,-62.94712821,-2205,-3867,4451.484471,4981.244428,3.35133E-10
48880,10924.58444,-62.85958924,-2195,-3885,4462.202371,4983.496764,3.34939E-10
49070,10888.81758,-62.78142562,-2188,-3906,4477.072704,4980.395304,3.34972E-10
49260,10859.12848,-62.64861767,-2177,-3927,4490.062138,4989.186114,3.34993E-10
49450,10823.74933,-62.54445448,-2168,-3948,4504.101242,4990.400713,3.35112E-10
49640,10788.50368,-62.53235225,-2164,-3967,4518.847751,4976.17236,3.34957E-10
49830,10762.53258,-62.43157023,-2153,-3985,4529.418727,4980.98255,3.34792E-10
50020,10725.79064,-62.30983108,-2142,-4007,4543.59032,4984.168927,3.35035E-10
50210,10690.66591,-62.26001684,-2135,-4026,4557.071538,4976.075147,3.35017E-10
50400,10662.71342,-62.18560923,-2126,-4045,4569.67187,4975.315942,3.34858E-10
50590,10626.28268,-62.05560752,-2117,-4069,4586.769015,4979.6292,3.35146E-10
50780,10592.23078,-61.99274977,-2111,-4088,4600.876547,4973.934554,3.3516E-10
50970,10583.66117,-61.89545358,-2095,-4102,4606.020951,4985.770966,3.34484E-10
51160,10532.77283,-61.77720642,-2087,-4128,4625.575964,4980.962285,3.35222E-10
51350,10510.26518,-61.7365523,-2079,-4144,4636.267572,4976.888086,3.34824E-10
51540,10478.6014,-61.60235915,-2066,-4166,4650.151825,4983.496971,3.35021E-10
51730,10444.66436,-61.52669941,-2057,-4186,4664.101736,4979.485233,3.35115E-10
51920,10417.68247,-61.45443073,-2048,-4206,4678.112867,4978.168347,3.34982E-10
52110,10392.77015,-61.33688303,-2034,-4224,4688.212026,4984.983163,3.34936E-10
52300,10362.39095,-61.29863045,-2026,-4241,4700.080531,4976.480885,3.34819E-10
52490,10332.30073,-61.15154249,-2013,-4263,4714.375674,4985.279636,3.35051E-10
52680,10301.54669,-61.09301478,-2004,-4283,4728.64727,4979.655505,3.35028E-10
52870,10271.73368,-61.01198968,-1995,-4304,4743.88459,4977.955238,3.35055E-10
53060,10241.29878,-60.89736557,-1981,-4324,4756.189336,4981.117382,3.35219E-10
53250,10217.01404,-60.80673815,-1969,-4342,4767.591111,4983.420092,3.35113E-10
53440,10201.16248,-60.67892713,-1954,-4358,4776.010888,4995.541482,3.34858E-10
53630,10172.1421,-60.65400334,-1946,-4376,4789.184899,4985.187664,3.34706E-10
53820,10138.09045,-60.59093903,-1938,-4397,4805.148593,4978.223388,3.34852E-10
54010,10112.41492,-60.51493626,-1925,-4413,4814.581394,4977.29678,3.34772E-10
54200,10082.58796,-60.41339478,-1914,-4433,4828.548954,4978.162661,3.34921E-10
54390,10055.17334,-60.33801412,-1904,-4452,4842.057414,4976.12678,3.34912E-10
54580,10028.69642,-60.21216901,-1890,-4473,4855.906609,4982.15254,3.35047E-10
54770,10004.12838,-60.15490973,-1878,-4491,4867.850141,4978.621674,3.34896E-10
54960,9979.34978,-60.06077261,-1865,-4508,4878.553987,4980.505276,3.34883E-10
55150,9952.249889,-59.9598442,-1852,-4527,4891.179101,4982.164287,3.34979E-10
55340,9929.02361,-59.92589465,-1843,-4543,4902.601146,4975.629169,3.34724E-10
55530,9895.345631,-59.80617465,-1830,-4566,4919.070644,4976.634538,3.3512E-10
55720,9870.811439,-59.70753931,-1817,-4586,4932.837419,4978.975569,3.35144E-10
55910,9844.151131,-59.59983596,-1802,-4607,4946.88316,4981.497161,3.35278E-10
56100,9827.186977,-59.51754842,-1787,-4622,4955.426621,4985.080783,3.35002E-10
56290,9799.437059,-59.46808299,-1776,-4639,4967.343052,4978.29297,3.34987E-10
56480,9784.078874,-59.37752727,-1762,-4653,4975.445005,4983.804112,3.34697E-10
56670,9753.300492,-59.2690276,-1748,-4673,4989.231704,4984.011203,3.35004E-10
56860,9728.062314,-59.19892195,-1735,-4691,5001.570353,4981.342119,3.34994E-10
57050,9705.705886,-59.10372594,-1722,-4710,5014.916151,4983.738764,3.3498E-10
57240,9679.87768,-59.06174883,-1711,-4728,5028.071698,4976.560531,3.34906E-10
57430,9662.289222,-58.95330963,-1696,-4744,5038.050417,4983.194356,3.34786E-10
57620,9634.143187,-58.94800175,-1686,-4762,5051.657154,4969.443053,3.34675E-10
57810,9601.504306,-58.77922934,-1668,-4784,5066.446486,4976.815504,3.35305E-10
58000,9586.384105,-58.70941737,-1656,-4798,5075.74034,4978.963354,3.34982E-10
58190,9564.319531,-58.62207072,-1640,-4815,5086.63199,4979.957542,3.34969E-10
58380,9543.946151,-58.5502434,-1626,-4832,5098.244796,4979.560326,3.34848E-10
58570,9522.217395,-58.43060826,-1610,-4851,5111.193696,4985.174338,3.34952E-10
58760,9497.384299,-58.36522414,-1596,-4867,5122.00205,4981.404352,3.34977E-10
58950,9482.910755,-58.29599298,-1581,-4881,5130.664869,4983.565012,3.34656E-10
59140,9458.879197,-58.21606214,-1568,-4898,5142.861849,4982.157376,3.34717E-10
59330,9429.929088,-58.13806088,-1555,-4917,5157.025693,4977.816809,3.34952E-10
59520,9406.937962,-58.04147484,-1539,-4937,5171.314146,4979.141618,3.35051E-10
59710,9382.852776,-57.95795383,-1525,-4954,5183.410171,4977.992379,3.35147E-10
59900,9366.340958,-57.85887292,-1508,-4971,5194.699703,4982.954357,3.35036E-10
60090,9347.119147,-57.79191655,-1492,-4986,5204.446176,4981.973884,3.3491E-10
60280,9330.08108,-57.66830998,-1474,-4999,5211.782517,4989.911891,3.3492E-10
60470,9306.129119,-57.62616118,-1462,-5018,5226.640221,4982.88513,3.34883E-10
60660,9286.312386,-57.51693918,-1445,-5035,5238.248753,4987.216303,3.34952E-10
60850,9264.998705,-57.4527467,-1430,-5051,5249.523883,4984.522905,3.34913E-10
