Frequency,Impedance,Phase,Real,Imaginary,Magnitude,Rs,Cs
57620,4999.342844,-0.021426952,-1674,-4760,5045.778037,5.00E+03,1.48E-06
57810,4996.916388,3.63E-02,-1662,-4778,5058.806974,5.00E+03,-8.70E-07
58000,5000.961894,3.21E-02,-1647,-4795,5069.973767,5.00E+03,-9.81E-07
58190,5000.614736,-1.43E-02,-1637,-4809,5079.985236,5.00E+03,2.19E-06
58380,4996.272158,-2.12E-02,-1623,-4830,5095.392919,5.00E+03,1.47E-06
58570,5000,0,-1606,-4842,5101.391967,5.00E+03,#DIV/0!
58760,5001.232924,7.16E-03,-1591,-4862,5115.69399,5.00E+03,-4.33E-06
58950,4998.743711,2.81E-02,-1575,-4880,5127.86749,5.00E+03,-1.10E-06
59140,5001.519142,1.78E-02,-1563,-4895,5138.481682,5.00E+03,-1.73E-06
59330,4999.70792,-1.06E-02,-1551,-4913,5152.006405,5.00E+03,2.90E-06
59520,5000.636533,-1.39E-02,-1536,-4931,5164.693311,5.00E+03,2.21E-06
59710,4997.587146,-1.47E-02,-1520,-4950,5178.117419,5.00E+03,2.08E-06
59900,4999.357255,1.38E-02,-1504,-4967,5189.711456,5.00E+03,-2.21E-06
60090,4997.235819,9.47E-03,-1488,-4982,5199.46805,5.00E+03,-3.21E-06
60280,5000.271193,1.06E-02,-1470,-4995,5206.815245,5.00E+03,-2.87E-06
60470,5000,0,-1459,-5013,5221.000862,5.00E+03,#DIV/0!
